movies_title,release_year,imdb_rating,age_rating,stream_provider,runtime,genre_list,movie_prod_country,movie_url
Hanu-Man,2024,8.3,UA,"Hotstar,Zee5,Apple TV+,Jio Cinema",2h 39min,"Action & Adventure, Fantasy, Science-Fiction, Mystery & Thriller, Drama",India,https://www.justwatch.com/in/movie/hanu-man
12th Fail,2023,6.5,Age rating not found,"Hotstar,Apple TV+",2h 26min,"Drama, Science-Fiction, Mystery & Thriller, Fantasy",India,https://www.justwatch.com/in/movie/12th-fail
Mad Max: Fury Road,2015,3.4,A,"Apple TV+,Amazon Video,Jio Cinema,Amazon Prime Video,Apple TV,Netflix",2h 0min,"Crime, Drama, Mystery & Thriller","United States, Australia",https://www.justwatch.com/in/movie/mad-max-fury-road
Stree,2018,3.4,UA,"Hotstar,Apple TV,Apple TV+",2h 7min,"Drama, Reality TV, Romance",India,https://www.justwatch.com/in/movie/stree
Agent,2023,6.4,UA,Apple TV+,2h 34min,"Romance, Drama, History, War & Military",India,https://www.justwatch.com/in/movie/agent
The Zone of Interest,2023,7.4,UA,"Apple TV+,Amazon Prime Video",1h 45min,"Drama, Science-Fiction, Fantasy, History, Romance, Comedy","United Kingdom, United States, Poland",https://www.justwatch.com/in/movie/the-zone-of-interest
Challengers,2024,8.2,A,"Amazon Video,Apple TV,Apple TV+",2h 12min,"Drama, Crime, Mystery & Thriller","United States, Italy",https://www.justwatch.com/in/movie/challengers
Hereditary,2018,8.6,A,"Apple TV+,MUBI Amazon Channel,Amazon Prime Video,VI movies and tv,MUBI",2h 8min,"Action & Adventure, Fantasy, Mystery & Thriller, Animation, Science-Fiction",United States,https://www.justwatch.com/in/movie/hereditary
Savi,2024,8.1,UA,"Apple TV+,Netflix",2h 3min,"Action & Adventure, Drama, Science-Fiction, Horror, Mystery & Thriller",India,https://www.justwatch.com/in/movie/savi-a-bloody-housewife
Longlegs,2024,6.3,A,"Bookmyshow,Apple TV+",1h 41min,"Mystery & Thriller, Drama","Canada, United States",https://www.justwatch.com/in/movie/longlegs
Babylon,2022,7.6,A,"Apple TV+,Amazon Video,Apple TV,Netflix",3h 9min,Reality TV,United States,https://www.justwatch.com/in/movie/babylon-2022
